,index,Name,Dates,Prices,Link,Filtered
1,2,New ListingAsus gtx 1050 ti 8GB good condition. ,2022-03-28,150.0,https://www.ebay.com/itm/403568538644?hash=item5df68f3414:g:UgwAAOSwtupiQIM0,False
2,3,"New ListingEVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-27,149.0,https://www.ebay.com/itm/384801626548?epid=20003297363&hash=item5997f6d9b4:g:xx0AAOSwppViOcmv,False
3,4,"Dell NVidia GeForce GTX 1050TI Video Card, 4GB GDDR5, DVI, HDMI, DisplayPort",2022-03-27,149.95,https://www.ebay.com/itm/125221462709?hash=item1d27c7e2b5:g:DtcAAOSwAFpiPNTI,False
4,5,NVIDIA GEFORCE GTX 1050 Ti 4GB Graphic Card  BLUE,2022-03-27,150.0,https://www.ebay.com/itm/203866545431?epid=22027052291&hash=item2f77649d17:g:eF0AAOSwpVBiQHaf,False
5,6,MSI GeForce GTX 1050 Ti 4GB PCI Express 3.0 Graphics Card,2022-03-27,138.5,https://www.ebay.com/itm/265612502056?epid=2305807244&hash=item3dd7bd2428:g:tzIAAOSwrMxiPSSN,False
6,7,Barely Used ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G),2022-03-27,117.5,https://www.ebay.com/itm/134060273218?epid=18036427347&hash=item1f369d6e42:g:FSQAAOSw03JiN9fN,False
7,8,New ListingMSI Nvidia GeForce GTX 1050 Ti 4GB GPU VRAM Graphics Card PC Gaming Used,2022-03-27,149.97,https://www.ebay.com/itm/115314861839?hash=item1ad94d270f:g:vEsAAOSwl1diQP0c,False
8,9,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-27,126.0,https://www.ebay.com/itm/255453573989?epid=20003297363&hash=item3b7a383365:g:IO0AAOSwTZZiPRss,False
9,10,New ListingEVGA Nvidia GeForce GTX 1050 Ti 4GB GPU VRAM Graphics Card PC Gaming Used,2022-03-27,149.97,https://www.ebay.com/itm/115314862124?hash=item1ad94d282c:g:ULgAAOSwN~diQP1F,False
10,12,New ListingMSI - GTX 1050 TI 4G OC - Graphics Card,2022-03-27,149.99,https://www.ebay.com/itm/185360620888?hash=item2b285a9d58:g:Hq0AAOSwbVdiQPAw,False
11,13,GIGABYTE GTX 1050 Ti OC 4GB GDDR5 Graphics Card (GV-N105TOC-4GD),2022-03-27,165.0,https://www.ebay.com/itm/224904790142?epid=26037356601&hash=item345d5ec07e:g:M6oAAOSwM~diPgK4,False
