,index,Name,Dates,Prices,Link,Filtered
0,0,EVGA Geforce GTX 1050 2GB Graphics Card,2022-03-28,86.0,https://www.ebay.com/itm/325114979635?epid=16021686725&hash=item4bb25ce533:g:bvoAAOSweGZiL4bW,False
2,29,Gigabyte NVIDIA GeForce GTX 1050 OC 2GB GDDR5 Video Card GV-N1050OC-2GL,2022-03-27,119.99,https://www.ebay.com/itm/255454875410?epid=9019591270&hash=item3b7a4c0f12:g:IAsAAOSwJ2dh5FVA,False
3,36,PNY Nvidia GeForce GTX 1050 2GB GPU VRAM Graphics Card PC Gaming Used,2022-03-26,139.97,https://www.ebay.com/itm/125223550709?hash=item1d27e7bef5:g:wVEAAOSwtydiPjgl,False
4,42,GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-03-25,107.5,https://www.ebay.com/itm/234472615343?epid=25026719829&hash=item3697a82daf:g:448AAOSwGS1iNO6i,False
5,45,EVGA Geforce GTX 1050 2GB Graphics Card  (02G-P4-6150-KR),2022-03-25,92.0,https://www.ebay.com/itm/165390931212?epid=16021686725&hash=item268211550c:g:-VoAAOSwAOxiNPCb,False
7,51,GTX 1050 sc 2GB graphics card,2022-03-25,120.0,https://www.ebay.com/itm/353966383677?hash=item526a0a623d:g:zXkAAOSwY~piBqqr,False
8,52,GeForce GTX 1050 OC 2GB Video Card GIGABYTE GV-N1050OC-2GD,2022-03-25,119.07,https://www.ebay.com/itm/284713673030?epid=25026719829&hash=item424a41e146:g:0u8AAOSw-kJiNzQa,False
9,61,GEFORCE GTX 1050 2GB,2022-03-24,97.06,https://www.ebay.com/itm/154904540988?hash=item241107b73c:g:jbQAAOSwve1iKpbX,False
10,67,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-24,125.0,https://www.ebay.com/itm/384788996964?epid=16021686725&hash=item5997362364:g:XIsAAOSwMWpiNiww,False
11,68,GIGABYTE GeForce GTX 1050 2GB Graphics Card. WORKS.,2022-03-24,140.0,https://www.ebay.com/itm/224900788372?epid=25026719829&hash=item345d21b094:g:EngAAOSw5IFiOrhm,False
